iter	Passed	Remaining
0	47	47348
1	48	24142
2	49	16412
3	50	12523
4	51	10227
5	52	8674
6	53	7568
7	54	6697
8	54	6004
9	55	5447
10	55	4985
11	55	4603
12	56	4283
13	56	4007
14	57	3770
15	57	3562
16	58	3390
17	59	3227
18	59	3082
19	60	2974
20	61	2859
21	61	2749
22	62	2650
23	63	2562
24	63	2476
25	63	2396
26	64	2323
27	64	2254
28	65	2201
29	66	2143
30	66	2088
31	67	2036
32	67	1986
33	68	1940
34	69	1904
35	69	1865
36	70	1826
37	70	1788
38	71	1754
39	71	1722
40	72	1705
41	73	1675
42	73	1645
43	74	1617
44	74	1590
45	75	1565
46	76	1543
47	76	1519
48	77	1496
49	77	1474
50	78	1452
51	78	1433
52	79	1414
53	79	1395
54	80	1377
55	80	1359
56	81	1341
57	81	1324
58	82	1309
59	82	1293
60	83	1278
61	83	1264
62	84	1251
63	84	1239
64	85	1227
65	85	1215
66	86	1203
67	86	1188
68	87	1177
69	87	1166
70	88	1156
71	88	1146
72	89	1140
73	90	1130
74	90	1120
75	91	1110
76	92	1103
77	92	1095
78	93	1085
79	93	1076
80	94	1067
81	94	1058
82	95	1050
83	95	1042
84	95	1033
85	97	1031
86	97	1021
87	97	1013
88	98	1006
89	98	1000
90	99	994
91	100	988
92	100	982
93	101	975
94	101	968
95	102	965
96	103	961
97	104	958
98	104	954
99	105	947
100	105	942
101	106	934
102	106	928
103	107	923
104	107	918
105	108	912
106	108	907
107	109	902
108	109	898
109	110	894
110	111	890
111	111	885
112	112	881
113	112	876
114	113	872
115	113	866
116	114	863
117	115	860
118	115	855
119	115	850
120	116	846
121	117	843
122	117	838
123	118	837
124	119	835
125	119	831
126	120	827
127	120	822
128	121	818
129	121	815
130	122	811
131	122	807
132	123	803
133	124	805
134	125	802
135	125	798
136	126	795
137	126	790
138	127	787
139	127	784
140	128	781
141	128	778
142	129	774
143	129	771
144	130	767
145	130	764
146	131	761
147	131	758
148	132	755
149	132	752
150	133	749
151	133	745
152	134	742
153	134	739
154	135	738
155	135	735
156	136	732
157	136	729
158	137	727
159	138	724
160	138	722
161	139	719
162	139	717
163	140	714
164	140	711
165	141	708
166	141	706
167	142	703
168	142	701
169	143	698
170	143	695
171	144	693
172	144	691
173	145	691
174	146	691
175	147	690
176	148	688
177	148	687
178	149	686
179	150	683
180	150	680
181	150	678
182	151	676
183	152	675
184	152	673
185	153	671
186	153	668
187	154	666
188	154	664
189	155	661
190	155	659
191	156	657
192	156	655
193	157	653
194	157	651
195	158	649
196	158	647
197	159	645
198	159	643
199	160	641
200	160	639
201	161	637
202	161	635
203	162	633
204	162	631
205	163	630
206	164	628
207	164	626
208	164	624
209	165	622
210	165	620
211	166	618
212	166	616
213	167	615
214	167	613
215	168	611
216	168	609
217	169	607
218	169	606
219	170	604
220	171	602
221	171	600
222	171	599
223	172	597
224	172	595
225	173	593
226	173	591
227	174	590
228	174	588
229	175	586
230	175	584
231	176	583
232	176	581
233	177	579
234	177	578
235	178	576
236	178	574
237	178	572
238	179	571
239	180	572
240	181	571
241	181	569
242	182	567
243	182	566
244	183	564
245	183	563
246	184	561
247	184	560
248	185	558
249	185	557
250	186	555
251	186	553
252	186	552
253	187	550
254	188	549
255	188	548
256	189	546
257	189	544
258	189	543
259	190	541
260	190	540
261	191	538
262	191	537
263	192	535
264	192	534
265	193	533
266	193	531
267	194	530
268	194	528
269	195	527
270	195	526
271	196	524
272	196	523
273	197	522
274	197	520
275	198	519
276	198	518
277	199	517
278	199	516
279	200	515
280	200	513
281	201	513
282	202	511
283	202	510
284	203	509
285	203	508
286	204	507
287	204	506
288	205	504
289	205	503
290	206	502
291	206	501
292	207	500
293	207	498
294	208	497
295	208	496
296	209	494
297	209	493
298	210	492
299	210	491
300	211	490
301	211	488
302	212	487
303	212	486
304	212	485
305	213	484
306	213	482
307	214	481
308	214	480
309	215	479
310	216	478
311	216	477
312	217	476
313	217	475
314	218	474
315	218	473
316	219	472
317	219	471
318	220	470
319	220	468
320	221	467
321	221	466
322	221	465
323	222	464
324	223	463
325	223	462
326	224	461
327	224	460
328	225	459
329	226	458
330	226	458
331	227	457
332	229	459
333	230	459
334	231	458
335	233	460
336	233	459
337	234	458
338	234	457
339	235	456
340	235	455
341	236	454
342	236	453
343	237	452
344	237	451
345	238	450
346	238	449
347	239	448
348	240	447
349	240	446
350	241	445
351	241	444
352	242	444
353	242	443
354	243	442
355	244	441
356	244	440
357	245	439
358	245	438
359	246	437
360	246	436
361	247	435
362	247	435
363	248	434
364	248	433
365	249	432
366	250	431
367	250	430
368	251	429
369	252	429
370	252	428
371	253	427
372	253	426
373	254	425
374	254	424
375	255	423
376	255	422
377	256	421
378	256	420
379	257	419
380	257	418
381	258	418
382	258	417
383	259	416
384	259	415
385	260	414
386	260	413
387	263	414
388	263	414
389	264	413
390	264	412
391	265	411
392	265	410
393	266	409
394	267	409
395	268	409
396	269	409
397	270	408
398	270	407
399	271	406
400	271	406
401	272	405
402	272	403
403	273	402
404	273	401
405	274	400
406	274	400
407	275	399
408	275	398
409	275	397
410	276	396
411	276	395
412	277	394
413	277	393
414	278	392
415	278	391
416	279	390
417	279	389
418	280	388
419	280	387
420	281	386
421	281	385
422	282	384
423	282	384
424	283	383
425	284	383
426	284	382
427	285	381
428	285	380
429	286	379
430	286	378
431	287	377
432	287	376
433	288	376
434	288	375
435	289	374
436	289	373
437	290	372
438	290	371
439	291	371
440	292	370
441	293	370
442	294	370
443	295	369
444	296	369
445	297	369
446	298	368
447	298	367
448	299	367
449	299	366
450	300	365
451	300	364
452	301	363
453	301	362
454	301	361
455	302	360
456	302	359
457	303	359
458	303	358
459	304	357
460	304	356
461	305	355
462	305	354
463	306	354
464	307	353
465	307	352
466	308	351
467	308	350
468	309	349
469	309	349
470	309	348
471	310	347
472	311	346
473	311	345
474	311	344
475	312	343
476	312	342
477	313	342
478	313	341
479	314	340
480	314	339
481	315	338
482	315	337
483	315	336
484	316	335
485	316	335
486	317	334
487	317	333
488	318	332
489	318	331
490	319	331
491	319	330
492	320	329
493	320	328
494	321	328
495	322	327
496	322	326
497	323	325
498	323	324
499	323	323
500	324	323
501	324	322
502	325	321
503	325	320
504	326	319
505	326	318
506	327	318
507	327	317
508	327	316
509	328	315
510	328	314
511	329	313
512	330	313
513	330	312
514	331	311
515	331	311
516	332	310
517	332	309
518	333	308
519	333	308
520	334	307
521	334	306
522	335	305
523	335	305
524	336	304
525	336	303
526	337	302
527	337	301
528	338	301
529	338	300
530	339	299
531	339	298
532	339	297
533	340	297
534	340	296
535	341	295
536	342	294
537	342	294
538	343	293
539	343	292
540	344	291
541	344	291
542	345	290
543	345	289
544	346	289
545	346	288
546	347	287
547	347	286
548	348	285
549	348	285
550	349	284
551	349	283
552	350	282
553	350	282
554	351	281
555	351	280
556	352	280
557	352	279
558	353	278
559	353	277
560	354	277
561	354	276
562	354	275
563	355	274
564	355	274
565	356	273
566	356	272
567	357	271
568	357	271
569	358	270
570	358	269
571	359	268
572	360	268
573	360	267
574	361	266
575	361	266
576	362	265
577	362	264
578	363	264
579	363	263
580	364	262
581	364	261
582	365	261
583	365	260
584	366	259
585	366	259
586	367	258
587	367	257
588	367	256
589	368	256
590	368	255
591	369	254
592	370	254
593	370	253
594	371	252
595	371	251
596	372	251
597	372	250
598	373	249
599	373	249
600	374	248
601	374	247
602	375	246
603	375	246
604	376	245
605	376	244
606	377	244
607	377	243
608	378	242
609	378	242
610	379	241
611	379	240
612	380	240
613	380	239
614	381	238
615	381	237
616	382	237
617	382	236
618	383	235
619	383	235
620	384	234
621	384	233
622	385	232
623	385	232
624	386	231
625	387	231
626	387	230
627	388	229
628	388	229
629	389	228
630	389	227
631	390	227
632	390	226
633	391	225
634	391	225
635	392	224
636	392	223
637	393	223
638	393	222
639	394	221
640	394	221
641	395	220
642	395	219
643	395	218
644	396	218
645	396	217
646	397	216
647	397	216
648	398	215
649	398	214
650	399	214
651	399	213
652	400	212
653	400	211
654	401	211
655	401	210
656	402	209
657	402	209
658	403	208
659	403	207
660	403	207
661	404	206
662	405	205
663	405	205
664	406	204
665	406	204
666	407	203
667	407	202
668	408	202
669	408	201
670	409	200
671	409	199
672	410	199
673	410	198
674	411	197
675	411	197
676	412	196
677	412	195
678	412	195
679	413	194
680	413	193
681	414	193
682	415	192
683	415	192
684	416	191
685	416	190
686	417	190
687	417	189
688	418	188
689	418	188
690	419	187
691	419	186
692	420	186
693	420	185
694	421	184
695	421	184
696	422	183
697	422	182
698	423	182
699	424	181
700	425	181
701	426	181
702	427	180
703	427	179
704	428	179
705	428	178
706	428	177
707	429	177
708	430	176
709	430	175
710	430	175
711	431	174
712	431	173
713	432	173
714	433	172
715	433	172
716	434	171
717	434	170
718	435	170
719	435	169
720	436	168
721	436	168
722	437	167
723	437	166
724	438	166
725	438	165
726	439	164
727	439	164
728	440	163
729	440	163
730	441	162
731	441	161
732	442	161
733	442	160
734	442	159
735	443	158
736	443	158
737	444	157
738	444	157
739	445	156
740	445	155
741	446	155
742	446	154
743	447	153
744	447	153
745	448	152
746	448	152
747	449	151
748	449	150
749	450	150
750	450	149
751	451	148
752	451	148
753	452	147
754	452	146
755	453	146
756	453	145
757	453	144
758	454	144
759	454	143
760	455	142
761	455	142
762	456	141
763	456	141
764	457	140
765	457	139
766	458	139
767	458	138
768	459	137
769	459	137
770	460	136
771	461	136
772	461	135
773	461	134
774	462	134
775	462	133
776	463	132
777	463	132
778	464	131
779	464	131
780	465	130
781	465	129
782	466	129
783	466	128
784	467	127
785	467	127
786	468	126
787	468	126
788	469	125
789	469	124
790	470	124
791	470	123
792	470	122
793	471	122
794	471	121
795	472	121
796	472	120
797	473	119
798	473	119
799	474	118
800	474	117
801	475	117
802	475	116
803	476	116
804	476	115
805	477	114
806	477	114
807	478	113
808	478	112
809	479	112
810	479	111
811	480	111
812	480	110
813	480	109
814	481	109
815	481	108
816	482	108
817	482	107
818	483	106
819	483	106
820	484	105
821	484	104
822	485	104
823	485	103
824	486	103
825	486	102
826	487	101
827	487	101
828	488	100
829	488	100
830	489	99
831	489	98
832	490	98
833	490	97
834	490	97
835	491	96
836	491	95
837	492	95
838	492	94
839	493	93
840	493	93
841	494	92
842	494	92
843	495	91
844	495	90
845	496	90
846	496	89
847	497	89
848	497	88
849	498	87
850	498	87
851	499	86
852	499	86
853	500	85
854	500	84
855	501	84
856	501	83
857	502	83
858	502	82
859	503	81
860	503	81
861	504	80
862	504	80
863	505	79
864	505	78
865	506	78
866	506	77
867	506	77
868	507	76
869	508	75
870	508	75
871	509	74
872	509	74
873	510	73
874	510	72
875	511	72
876	511	71
877	512	71
878	512	70
879	512	69
880	513	69
881	513	68
882	514	68
883	514	67
884	515	66
885	515	66
886	516	65
887	516	65
888	517	64
889	517	64
890	518	63
891	518	62
892	519	62
893	520	61
894	521	61
895	522	60
896	522	60
897	523	59
898	524	58
899	525	58
900	525	57
901	526	57
902	527	56
903	528	56
904	528	55
905	529	54
906	530	54
907	531	53
908	531	53
909	532	52
910	533	52
911	534	51
912	534	50
913	535	50
914	536	49
915	536	49
916	537	48
917	538	48
918	539	47
919	540	46
920	540	46
921	541	45
922	541	45
923	543	44
924	543	44
925	544	43
926	544	42
927	545	42
928	546	41
929	547	41
930	547	40
931	548	40
932	548	39
933	549	38
934	549	38
935	550	37
936	550	37
937	551	36
938	552	35
939	553	35
940	553	34
941	554	34
942	554	33
943	555	32
944	555	32
945	556	31
946	556	31
947	557	30
948	557	29
949	558	29
950	558	28
951	559	28
952	559	27
953	560	27
954	560	26
955	561	25
956	561	25
957	562	24
958	562	24
959	563	23
960	563	22
961	564	22
962	564	21
963	565	21
964	566	20
965	566	19
966	567	19
967	567	18
968	568	18
969	568	17
970	569	16
971	569	16
972	569	15
973	570	15
974	571	14
975	571	14
976	571	13
977	572	12
978	572	12
979	573	11
980	573	11
981	574	10
982	575	9
983	576	9
984	577	8
985	577	8
986	578	7
987	579	7
988	579	6
989	580	5
990	580	5
991	581	4
992	581	4
993	582	3
994	582	2
995	583	2
996	583	1
997	584	1
998	585	0
999	585	0
