iter	Passed	Remaining
0	47	47391
1	48	24113
2	48	16231
3	49	12284
4	49	9922
5	50	8354
6	50	7228
7	51	6375
8	51	5721
9	52	5190
10	52	4758
11	53	4404
12	53	4097
13	54	3837
14	54	3610
15	55	3413
16	56	3238
17	56	3084
18	57	2943
19	57	2821
20	58	2706
21	58	2619
22	59	2527
23	60	2443
24	60	2360
25	61	2287
26	61	2220
27	62	2154
28	62	2093
29	62	2036
30	63	1981
31	63	1930
32	64	1882
33	64	1837
34	65	1796
35	65	1756
36	66	1719
37	66	1684
38	66	1649
39	67	1616
40	67	1585
41	68	1555
42	68	1526
43	69	1500
44	69	1474
45	69	1450
46	70	1427
47	70	1404
48	71	1385
49	71	1366
50	72	1347
51	72	1328
52	73	1310
53	73	1293
54	74	1275
55	74	1259
56	75	1243
57	75	1227
58	76	1212
59	76	1198
60	76	1184
61	77	1170
62	77	1157
63	78	1143
64	78	1131
65	79	1118
66	79	1106
67	79	1094
68	80	1089
69	81	1077
70	81	1066
71	81	1055
72	82	1045
73	82	1035
74	83	1025
75	83	1016
76	84	1007
77	84	998
78	84	990
79	85	981
80	85	973
81	86	965
82	86	954
83	86	946
84	87	938
85	87	931
86	88	924
87	88	917
88	88	910
89	89	904
90	89	897
91	90	890
92	90	884
93	91	877
94	91	871
95	91	865
96	92	859
97	92	853
98	93	848
99	93	842
100	94	837
101	94	831
102	95	830
103	96	827
104	96	822
105	97	818
106	97	813
107	97	809
108	98	804
109	98	799
110	99	794
111	99	790
112	100	785
113	100	780
114	101	778
115	101	773
116	101	768
117	102	764
118	102	760
119	103	756
120	103	752
121	103	747
122	104	743
123	104	740
124	105	736
125	105	732
126	106	728
127	106	725
128	106	722
129	107	718
130	107	715
131	108	711
132	108	708
133	109	704
134	109	701
135	109	698
136	110	695
137	110	691
138	111	688
139	111	685
140	111	681
141	112	677
142	112	673
143	112	670
144	113	667
145	113	664
146	114	661
147	114	658
148	114	656
149	115	653
150	115	650
151	115	647
152	116	643
153	116	641
154	117	638
155	117	635
156	117	632
157	118	630
158	118	627
159	119	625
160	119	622
161	119	619
162	120	617
163	120	614
164	121	613
165	121	611
166	122	609
167	122	607
168	123	605
169	123	603
170	123	600
171	124	598
172	124	596
173	125	594
174	125	591
175	125	589
176	126	587
177	126	585
178	127	583
179	127	581
180	128	579
181	128	577
182	128	575
183	129	572
184	129	570
185	129	568
186	130	566
187	130	564
188	131	562
189	131	560
190	131	558
191	132	556
192	132	554
193	133	552
194	133	550
195	133	549
196	134	547
197	134	545
198	135	544
199	135	542
200	136	540
201	136	539
202	136	537
203	137	535
204	137	533
205	137	531
206	138	530
207	138	528
208	139	526
209	139	524
210	139	523
211	140	521
212	140	519
213	141	518
214	141	516
215	141	514
216	142	513
217	142	512
218	143	510
219	143	508
220	143	507
221	144	505
222	144	504
223	145	503
224	145	501
225	146	500
226	146	498
227	146	497
228	147	496
229	147	494
230	148	493
231	148	492
232	149	490
233	149	489
234	149	487
235	150	486
236	150	485
237	151	483
238	151	482
239	151	480
240	152	479
241	152	478
242	153	476
243	153	475
244	153	474
245	154	472
246	154	471
247	154	469
248	155	468
249	155	467
250	156	465
251	156	464
252	157	463
253	157	462
254	157	461
255	158	459
256	158	458
257	159	457
258	159	456
259	159	454
260	160	453
261	160	452
262	161	451
263	161	450
264	161	448
265	162	447
266	162	446
267	162	445
268	163	443
269	163	442
270	164	441
271	164	440
272	165	439
273	165	438
274	165	437
275	166	435
276	166	434
277	166	433
278	167	432
279	167	431
280	168	430
281	168	429
282	168	427
283	169	426
284	169	425
285	170	424
286	170	423
287	170	422
288	171	421
289	171	420
290	172	419
291	172	418
292	172	417
293	173	415
294	173	414
295	173	413
296	174	412
297	174	411
298	175	410
299	175	409
300	175	408
301	176	407
302	176	406
303	177	405
304	177	404
305	177	403
306	178	402
307	178	401
308	179	400
309	179	400
310	180	399
311	180	398
312	180	397
313	181	395
314	181	394
315	181	393
316	182	393
317	182	392
318	183	391
319	183	390
320	184	389
321	184	388
322	184	387
323	185	386
324	185	385
325	185	384
326	186	384
327	187	383
328	187	382
329	187	381
330	188	380
331	188	379
332	188	378
333	189	377
334	189	376
335	190	375
336	190	375
337	191	374
338	191	373
339	191	372
340	192	371
341	192	370
342	193	370
343	193	369
344	194	368
345	194	367
346	195	367
347	195	366
348	196	367
349	197	366
350	197	365
351	198	364
352	198	363
353	198	362
354	199	361
355	199	361
356	200	360
357	200	359
358	201	358
359	201	358
360	201	357
361	202	356
362	202	355
363	203	354
364	203	354
365	204	353
366	204	352
367	204	351
368	205	350
369	205	350
370	206	349
371	206	348
372	206	347
373	207	346
374	207	345
375	208	345
376	208	344
377	209	344
378	209	343
379	210	342
380	210	342
381	210	341
382	211	340
383	211	339
384	212	338
385	212	338
386	213	337
387	213	336
388	213	335
389	214	334
390	214	334
391	214	333
392	215	332
393	215	331
394	216	330
395	216	330
396	216	329
397	217	328
398	217	327
399	217	326
400	218	326
401	218	325
402	219	324
403	219	323
404	222	326
405	222	326
406	223	325
407	223	324
408	224	324
409	225	323
410	225	323
411	226	322
412	226	321
413	226	321
414	227	320
415	227	319
416	227	318
417	228	318
418	228	317
419	229	316
420	229	315
421	229	315
422	230	314
423	230	313
424	231	312
425	231	311
426	231	311
427	232	310
428	232	309
429	232	308
430	233	308
431	233	307
432	234	306
433	234	305
434	234	305
435	235	304
436	235	303
437	236	302
438	236	302
439	236	301
440	237	300
441	237	300
442	238	299
443	238	298
444	238	298
445	239	297
446	239	296
447	240	295
448	240	295
449	240	294
450	241	293
451	241	293
452	242	292
453	242	291
454	242	291
455	243	290
456	243	289
457	244	289
458	244	288
459	245	287
460	245	286
461	245	286
462	246	285
463	246	284
464	247	284
465	247	283
466	247	282
467	248	282
468	248	281
469	249	280
470	249	280
471	249	279
472	250	278
473	250	278
474	251	277
475	251	276
476	251	276
477	252	275
478	252	274
479	252	274
480	253	273
481	253	272
482	254	272
483	254	271
484	254	270
485	255	270
486	255	269
487	256	268
488	256	268
489	256	267
490	257	266
491	257	266
492	258	265
493	258	264
494	259	264
495	259	263
496	259	262
497	260	262
498	260	261
499	260	260
500	261	260
501	261	259
502	262	258
503	262	258
504	262	257
505	263	257
506	263	256
507	264	255
508	264	255
509	264	254
510	265	254
511	266	253
512	266	252
513	266	252
514	267	251
515	267	250
516	267	250
517	268	249
518	268	249
519	269	248
520	269	247
521	270	247
522	270	246
523	270	245
524	271	245
525	271	244
526	271	244
527	272	243
528	272	242
529	273	242
530	273	241
531	274	241
532	274	240
533	274	239
534	275	239
535	275	238
536	275	237
537	276	237
538	276	236
539	277	236
540	277	235
541	278	234
542	278	234
543	278	233
544	279	233
545	279	232
546	279	231
547	280	231
548	280	230
549	281	230
550	281	229
551	281	228
552	282	228
553	282	227
554	283	227
555	283	226
556	283	225
557	284	225
558	284	224
559	285	224
560	285	223
561	286	222
562	286	222
563	286	221
564	287	221
565	287	220
566	288	219
567	288	219
568	288	218
569	289	218
570	289	217
571	289	216
572	290	216
573	290	215
574	291	215
575	291	214
576	291	214
577	292	213
578	292	212
579	292	212
580	293	211
581	293	210
582	294	210
583	294	209
584	294	209
585	295	208
586	295	208
587	296	207
588	296	206
589	296	206
590	297	205
591	297	205
592	298	204
593	298	203
594	298	203
595	299	202
596	299	202
597	300	201
598	301	201
599	301	201
600	301	200
601	302	200
602	302	199
603	303	198
604	303	198
605	304	197
606	304	197
607	304	196
608	305	195
609	305	195
610	305	194
611	306	194
612	306	193
613	307	193
614	307	192
615	308	192
616	308	191
617	308	190
618	309	190
619	309	189
620	310	189
621	310	188
622	310	188
623	311	187
624	311	187
625	312	186
626	312	185
627	312	185
628	313	184
629	313	184
630	313	183
631	314	182
632	314	182
633	315	181
634	315	181
635	315	180
636	316	180
637	316	179
638	317	179
639	317	178
640	318	178
641	318	177
642	319	177
643	319	176
644	319	176
645	320	175
646	320	174
647	321	174
648	321	173
649	322	173
650	322	173
651	323	172
652	323	171
653	324	171
654	324	170
655	324	170
656	325	169
657	325	169
658	326	168
659	326	168
660	326	167
661	327	167
662	327	166
663	328	166
664	328	165
665	329	165
666	329	164
667	329	163
668	330	163
669	330	162
670	331	162
671	331	161
672	331	161
673	332	160
674	332	160
675	333	159
676	333	159
677	334	158
678	334	158
679	335	157
680	335	157
681	335	156
682	336	156
683	336	155
684	337	155
685	337	154
686	338	154
687	338	153
688	338	153
689	339	152
690	339	151
691	340	151
692	340	150
693	341	150
694	341	149
695	341	149
696	342	148
697	342	148
698	343	147
699	343	147
700	343	146
701	344	146
702	345	145
703	345	145
704	345	144
705	346	144
706	346	143
707	347	143
708	347	142
709	348	142
710	349	141
711	349	141
712	349	140
713	350	140
714	350	139
715	350	139
716	351	138
